candidate,party,votes,percentage,year,region,region_clean,category,source,search_text
Nana Akufo Addo,NPP,145584,55.04,2020,Brong Ahafo Region,Ahafo Region,NPP,Ghana_Election_Result.csv,"In 2020, Nana Akufo Addo of NPP received 145584 votes, representing 55.04%, in Brong Ahafo Region region. The record category is NPP."
John Dramani Mahama,NDC,116485,44.04,2020,Brong Ahafo Region,Ahafo Region,NDC,Ghana_Election_Result.csv,"In 2020, John Dramani Mahama of NDC received 116485 votes, representing 44.04%, in Brong Ahafo Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,191,0.07,2020,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2020, Ivor Kobina Greenstreet of CPP received 191 votes, representing 0.07%, in Brong Ahafo Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,83,0.03,2020,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2020, David Asibi Ayindenaba Apasera of PNC received 83 votes, representing 0.03%, in Brong Ahafo Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,103,0.04,2020,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2020, Alfred Kwame Asiedu Walker of IND received 103 votes, representing 0.04%, in Brong Ahafo Region region. The record category is Others."
Percival Kofi Akpaloo,LPG,112,0.04,2020,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2020, Percival Kofi Akpaloo of LPG received 112 votes, representing 0.04%, in Brong Ahafo Region region. The record category is Others."
Hassan Ayariga,APC,150,0.06,2020,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2020, Hassan Ayariga of APC received 150 votes, representing 0.06%, in Brong Ahafo Region region. The record category is Others."
Bridget Dzogbenuku,PPP,51,0.02,2020,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2020, Bridget Dzogbenuku of PPP received 51 votes, representing 0.02%, in Brong Ahafo Region region. The record category is Others."
Akua Donkor,GFP,49,0.02,2020,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2020, Akua Donkor of GFP received 49 votes, representing 0.02%, in Brong Ahafo Region region. The record category is Others."
Christian Kwabena Andrews,GUM,1490,0.56,2020,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2020, Christian Kwabena Andrews of GUM received 1490 votes, representing 0.56%, in Brong Ahafo Region region. The record category is Others."
Henry Herbert Lartey,GCPP,51,0.02,2020,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2020, Henry Herbert Lartey of GCPP received 51 votes, representing 0.02%, in Brong Ahafo Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,135,0.05,2020,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2020, Nana Konadu Agyeman Rawlings of NDP received 135 votes, representing 0.05%, in Brong Ahafo Region region. The record category is Others."
Nana Akufo Addo,NPP,1795824,72.79,2020,Ashanti Region,Ashanti Region,NPP,Ghana_Election_Result.csv,"In 2020, Nana Akufo Addo of NPP received 1795824 votes, representing 72.79%, in Ashanti Region region. The record category is NPP."
John Dramani Mahama,NDC,653149,26.47,2020,Ashanti Region,Ashanti Region,NDC,Ghana_Election_Result.csv,"In 2020, John Dramani Mahama of NDC received 653149 votes, representing 26.47%, in Ashanti Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,1356,0.05,2020,Ashanti Region,Ashanti Region,OTHERS,Ghana_Election_Result.csv,"In 2020, Ivor Kobina Greenstreet of CPP received 1356 votes, representing 0.05%, in Ashanti Region region. The record category is OTHERS."
David Asibi Ayindenaba Apasera,PNC,444,0.02,2020,Ashanti Region,Ashanti Region,OTHERS,Ghana_Election_Result.csv,"In 2020, David Asibi Ayindenaba Apasera of PNC received 444 votes, representing 0.02%, in Ashanti Region region. The record category is OTHERS."
Alfred Kwame Asiedu Walker,IND,952,0.04,2020,Ashanti Region,Ashanti Region,OTHERS,Ghana_Election_Result.csv,"In 2020, Alfred Kwame Asiedu Walker of IND received 952 votes, representing 0.04%, in Ashanti Region region. The record category is OTHERS."
Percival Kofi Akpaloo,LPG,712,0.03,2020,Ashanti Region,Ashanti Region,OTHERS,Ghana_Election_Result.csv,"In 2020, Percival Kofi Akpaloo of LPG received 712 votes, representing 0.03%, in Ashanti Region region. The record category is OTHERS."
Hassan Ayariga,APC,482,0.02,2020,Ashanti Region,Ashanti Region,OTHERS,Ghana_Election_Result.csv,"In 2020, Hassan Ayariga of APC received 482 votes, representing 0.02%, in Ashanti Region region. The record category is OTHERS."
Bridget Dzogbenuku,PPP,435,0.02,2020,Ashanti Region,Ashanti Region,OTHERS,Ghana_Election_Result.csv,"In 2020, Bridget Dzogbenuku of PPP received 435 votes, representing 0.02%, in Ashanti Region region. The record category is OTHERS."
Akua Donkor,GFP,593,0.02,2020,Ashanti Region,Ashanti Region,OTHERS,Ghana_Election_Result.csv,"In 2020, Akua Donkor of GFP received 593 votes, representing 0.02%, in Ashanti Region region. The record category is OTHERS."
Christian Kwabena Andrews,GUM,12564,0.51,2020,Ashanti Region,Ashanti Region,OTHERS,Ghana_Election_Result.csv,"In 2020, Christian Kwabena Andrews of GUM received 12564 votes, representing 0.51%, in Ashanti Region region. The record category is OTHERS."
Henry Herbert Lartey,GCPP,304,0.01,2020,Ashanti Region,Ashanti Region,OTHERS,Ghana_Election_Result.csv,"In 2020, Henry Herbert Lartey of GCPP received 304 votes, representing 0.01%, in Ashanti Region region. The record category is OTHERS."
Nana Konadu Agyeman Rawlings,NDP,476,0.02,2020,Ashanti Region,Ashanti Region,OTHERS,Ghana_Election_Result.csv,"In 2020, Nana Konadu Agyeman Rawlings of NDP received 476 votes, representing 0.02%, in Ashanti Region region. The record category is OTHERS."
Nana Akufo Addo,NPP,292604,58.23,2020,Brong Ahafo Region,Bono Region,NPP,Ghana_Election_Result.csv,"In 2020, Nana Akufo Addo of NPP received 292604 votes, representing 58.23%, in Brong Ahafo Region region. The record category is NPP."
John Dramani Mahama,NDC,203279,40.45,2020,Brong Ahafo Region,Bono Region,NDC,Ghana_Election_Result.csv,"In 2020, John Dramani Mahama of NDC received 203279 votes, representing 40.45%, in Brong Ahafo Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,338,0.07,2020,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2020, Ivor Kobina Greenstreet of CPP received 338 votes, representing 0.07%, in Brong Ahafo Region region. The record category is Others."
